,data,valor,modalidade,longo_prazo_deflacionado
418,2017-05,2.59,Rural e agroindustrial,158103481033.1478
419,2017-05,2.59,Veículos,92958083864.91283
420,2017-06,2.58,Cartão de crédito,3038193255.630035
421,2017-06,2.58,Empréstimo com consignação em folha,269560366632.98788
422,2017-06,2.58,Empréstimo sem consignação em folha,51432482338.98544
423,2017-06,2.58,Habitacional,657941079368.0433
424,2017-06,2.58,Outros créditos,53879910492.79575
425,2017-06,2.58,Rural e agroindustrial,162813455265.18112
426,2017-06,2.58,Veículos,93233950853.30655
427,2017-07,2.62,Cartão de crédito,3144271865.57312
428,2017-07,2.62,Empréstimo com consignação em folha,271811270927.93997
429,2017-07,2.62,Empréstimo sem consignação em folha,51696067892.442406
430,2017-07,2.62,Habitacional,664085833831.1216
431,2017-07,2.62,Outros créditos,57046944641.1781
432,2017-07,2.62,Rural e agroindustrial,157960473928.854
433,2017-07,2.62,Veículos,93819939389.66203
434,2017-08,2.56,Cartão de crédito,3225293659.136969
435,2017-08,2.56,Empréstimo com consignação em folha,273822345993.58942
436,2017-08,2.56,Empréstimo sem consignação em folha,51889280400.218544
437,2017-08,2.56,Habitacional,666970687887.8834
438,2017-08,2.56,Outros créditos,57103555252.07915
439,2017-08,2.56,Rural e agroindustrial,156780418226.99094
440,2017-08,2.56,Veículos,95028183768.48772
441,2017-09,2.44,Cartão de crédito,3252912811.3812723
442,2017-09,2.44,Empréstimo com consignação em folha,274814989180.66492
443,2017-09,2.44,Empréstimo sem consignação em folha,51930429789.680534
444,2017-09,2.44,Habitacional,668174565624.875
445,2017-09,2.44,Outros créditos,57105412159.13339
446,2017-09,2.44,Rural e agroindustrial,154635218642.54147
447,2017-09,2.44,Veículos,95822283668.37582
448,2017-10,2.46,Cartão de crédito,3153952320.670216
449,2017-10,2.46,Empréstimo com consignação em folha,276099385715.2068
450,2017-10,2.46,Empréstimo sem consignação em folha,51842351339.06802
451,2017-10,2.46,Habitacional,669282107323.3885
452,2017-10,2.46,Outros créditos,57351396437.2739
453,2017-10,2.46,Rural e agroindustrial,153002151082.55576
454,2017-10,2.46,Veículos,96806489449.55724
455,2017-11,2.42,Cartão de crédito,3297010635.0634046
456,2017-11,2.42,Empréstimo com consignação em folha,276462802648.0949
457,2017-11,2.42,Empréstimo sem consignação em folha,52328322934.354034
458,2017-11,2.42,Habitacional,669301434389.0648
459,2017-11,2.42,Outros créditos,56906715530.14111
460,2017-11,2.42,Rural e agroindustrial,152390313105.44925
461,2017-11,2.42,Veículos,98268072867.66342
462,2017-12,2.31,Cartão de crédito,3289116447.5208254
463,2017-12,2.31,Empréstimo com consignação em folha,276765466018.0096
464,2017-12,2.31,Empréstimo sem consignação em folha,52267506528.836586
465,2017-12,2.31,Habitacional,669672298530.7268
466,2017-12,2.31,Outros créditos,56639100208.38221
467,2017-12,2.31,Rural e agroindustrial,152816565642.08536
468,2017-12,2.31,Veículos,99771263907.93956
469,2018-01,2.33,Cartão de crédito,3305324859.4780264
470,2018-01,2.33,Empréstimo com consignação em folha,277142841717.62933
471,2018-01,2.33,Empréstimo sem consignação em folha,52357035095.31997
472,2018-01,2.33,Habitacional,668796436566.8489
473,2018-01,2.33,Outros créditos,56358430843.568985
474,2018-01,2.33,Rural e agroindustrial,152289746126.9885
475,2018-01,2.33,Veículos,101017694329.97105
476,2018-02,2.39,Cartão de crédito,3316939656.386894
477,2018-02,2.39,Empréstimo com consignação em folha,278545461484.587
478,2018-02,2.39,Empréstimo sem consignação em folha,52238207795.674774
479,2018-02,2.39,Habitacional,669043716066.2783
480,2018-02,2.39,Outros créditos,56225495505.2751
481,2018-02,2.39,Rural e agroindustrial,152173405017.2902
482,2018-02,2.39,Veículos,101624034987.36261
483,2018-03,2.37,Cartão de crédito,3417295917.5022964
